Species,CommonName,Species.CommonName,Color
Mustelus sp.,Smooth dogfish,Mustelus canis (Smooth dogfish),gray
Bathytoshia sp.,Roughtail stingray,Bathytoshia centroura (Roughtail stingray),#E73032
Rhinoptera sp.,Rhinoptera sp.,Rhinoptera sp.,#E41F21
Pteroplatytrygon sp.,Pelagic sting ray,Pteroplatytrygon violacea (Pelagic sting ray),#86C969
Scombriformes sp.,Scombriformes,Scombriformes,gold3
Paralichthys sp.,Summer flounder,Paralichthyidae (Summer flounder),darkseagreen
Chaetodon striatus,Banded butterflyfish,Chaetodon striatus (Banded butterflyfish),violet
Sphyraena borealis,Northern sennet,Sphyraena borealis (Northern sennet),#FDBF6F
Synodus foetens,Inshore lizardfish,Synodus foetens (Inshore lizardfish),cadetblue4
Fundulus sp.,Fundulus sp.,Fundulus sp.,chocolate4
Anchoa sp.,Anchovies,Engraulidae (Anchovies),linen
Lopholatilus chamaeleonticeps,Great northern tilefish,Lopholatilus chamaeleonticeps (Great northern tilefish),darkorange3
Chaetodon ocellatus,Spotfin butterflyfish,Chaetodon ocellatus (Spotfin butterflyfish),springgreen
Conger oceanicus,American conger eel,Conger oceanicus (American conger eel),floralwhite
Peprilus triacanthus,Butterfish,Peprilus triacanthus (Butterfish),greenyellow
Sphoeroides spengleri,Bandtail puffer,Sphoeroides spengleri (Bandtail puffer),blue4
Alosa sp.,Shads,Alosa sp. (Shads),lightseagreen
Pseudopleuronectes sp.,Winter flounder,Pseudopleuronectes sp. (Winter flounder),indianred2
Archosargus probatocephalus,Sheepshead,Archosargus probatocephalus (Sheepshead),grey97
Gobiesox strumosus,Skilletfish,Gobiesox strumosus (Skilletfish),lightsalmon3
Nomeidae sp.,Scombriformes,Scombriformes,gold3
Opisthonema oglinum,Atlantic thread herring,Opisthonema oglinum (Atlantic thread herring),#3D9F31
Selene setapinnis,Atlantic moonfish,Selene setapinnis (Atlantic moonfish),chartreuse4
Aluterus heudelotii,Dotterel filefish,Aluterus heudelotii (Dotterel filefish),khaki3
Unknown Scombriformes (Order),Scombriformes,Scombriformes,gold3
Unknown Paralichthys (Genus),Summer flounder,Paralichthyidae (Summer flounder),darkseagreen
Unknown Fundulus (Genus),Fundulus sp.,Fundulus sp.,chocolate4
Unknown Anchoa (Genus),Anchovies,Engraulidae (Anchovies),linen
Unknown Alosa (Genus),Shads,Alosa sp. (Shads),lightseagreen
Unknown Pseudopleuronectes (Genus),Winter flounder,Pseudopleuronectes sp. (Winter flounder),indianred2
Unknown Nomeidae (Family),Scombriformes,Scombriformes,gold3
Unknown Engraulidae (Family),Anchovies,Engraulidae (Anchovies),linen
Megaptera novaeangliae,Humpback whale,Megaptera novaeangliae (Humpback whale),rosybrown2
Unknown Scombridae (Family),Scombriformes,Scombriformes,gold3
Unknown Brevoortia (Genus),Atlantic menhaden,Brevoortia sp. (Atlantic menhaden),#FF7F00
Unknown Bathytoshia (Genus),Roughtail stingray,Bathytoshia centroura (Roughtail stingray),#E73032
Unknown Triakidae (Family),Smooth dogfish,Mustelus canis (Smooth dogfish),gray
Unknown Mustelus (Genus),Smooth dogfish,Mustelus canis (Smooth dogfish),gray
Unknown Clupeiformes (Order),Clupeiformes,Clupeiformes,#80C665
Unknown Actinopteri (Class),Actinopteri,Actinopteri,#699E49
Unknown Carcharhiniformes (Order),Ground sharks,Carcharhiniformes (Ground sharks),#6FB09C
